Product ID,Product Name,Brand,Price (SAR),Currency,Source Site,Source Category,Product URL,Image URL,Gender Target,Age Group,Interest Category,Occasion,Recipient Type,Price Tier,Luxury Level,Recommendation Tags,Data Quality,Source File,Category,Sub Category,Gift Type,Description
GIFT-11876,Slim 18-Pair Shoe Cabinet,,549.0,SAR,Homecenter,Living Room,https://www.homecentre.com/sa/en/buy-slim-18pair-shoe-cabinet/p/164197990,https://cdn.media.amplience.net/i/lmg/website_images_static-pages_brand_exp_brand2images_loadingimages_homecentre_sa_en_loading_150@2x?fmt=auto,Unisex,Teen–Adult,Fashion & Accessories,General / Any Occasion,Anyone,SAR 300-699,Premium,Fashion & Accessories | Unisex | Teen–Adult | General / Any Occasion | Anyone | SAR 300-699,Missing: Brand,homecentre-living-room.csv,Fashion & Accessories,Shoes,Single Product,"Slim 18-Pair Shoe Cabinet is a single product in the shoes subcategory, suited to anyone, available from Homecenter."
GIFT-26946,Mini Re-Edition 2005 Shoulder Bag in Re-Nylon,Prada,5700.0,SAR,Ounass,Gift For Her,https://en-saudi.ounass.com/shop-prada-mini-re-edition-2005-shoulder-bag-in-re-nylon-for-women-218454774_13.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218454774_black_in.jpg?ts=1751618630.4807",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-gift-for-her.csv,Fashion & Accessories,Bags & Wallets,Fashion Accessory,"Mini Re-Edition 2005 Shoulder Bag in Re-Nylon by Prada is a fashion accessory in the bags & wallets subcategory, suited to her, available from Ounass."
GIFT-05748,ساعة رجالية بسير شبكي رمادي,26%,189.0,SAR,Zyros,Watches and Accessories,https://zyros.com/ar/mens-watch-with-gray-mesh-strap/p1112307863,https://cdn.salla.sa/GARjP/hlLOCNrX7Uw17QN4ALu5ypkRVHYzICooAWX90hGr.jpg,Male,Teen–Adult,Watches & Accessories,Birthday | Anniversary | Graduation | General / Any Occasion,Him,100–249 SAR,Affordable,Watches & Accessories | Male | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Him | 100–249 SAR,Complete,zyros.csv,Watches & Accessories,Watches,Fashion Accessory,"ساعة رجالية بسير شبكي رمادي by 26% is a fashion accessory in the watches subcategory, suited to him for general, available from Zyros."
GIFT-49071,Avorion,Steam,51.49,SAR,Steam,PC Games,https://store.steampowered.com/app/445220/Avorion,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/445220/capsule_231x87.jpg?t=1762761602,Unisex,Teen–Adult,Gaming & Tech,Birthday | Graduation | General / Any Occasion,Teen / Adult,Under SAR 100,Budget,Gaming & Tech | Unisex | Teen–Adult | Birthday | Graduation | General / Any Occasion | Teen / Adult | Under SAR 100,Complete,steam-games.csv,Gaming & Tech,PC Games,Digital Game,"Avorion, a PC game on Steam, released 9 Mar, 2020."
GIFT-12488,Otath Glass Top Side Table,,479.0,SAR,Homecenter,Living Room,https://www.homecentre.com/sa/en/buy-otath-glass-top-side-table/p/167515689,https://cdn.media.amplience.net/i/lmg/website_images_static-pages_brand_exp_brand2images_loadingimages_homecentre_sa_en_loading_150@2x?fmt=auto,Unisex,Adult only,Home & Décor,Housewarming | Wedding | General / Any Occasion,Family / Home,SAR 300-699,Premium,Home & Décor | Unisex | Adult only | Housewarming | Wedding | General / Any Occasion | Family / Home | SAR 300-699,Missing: Brand,homecentre-living-room.csv,Home & Décor,Kitchen & Dining,Single Product,"Otath Glass Top Side Table is a single product in the kitchen & dining subcategory, suited to family / home, available from Homecenter."
GIFT-28712,Brushed Highgloss Diamond Necklace in 18kt Gold,Toonz,13885.0,SAR,Ounass,Jewellery,https://en-saudi.ounass.com/shop-toonz-brushed-highgloss-diamond-necklace-in-18kt-gold-for-women-219503976_27.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219503976_yellow_in.jpg?ts=1774463554.2407",Female,Teen–Adult,Jewelry & Watches,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Jewelry & Watches | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-jewellery.csv,Jewelry & Watches,Jewellery,Fashion Accessory,"Brushed Highgloss Diamond Necklace in 18kt Gold by Toonz is a fashion accessory in the jewellery subcategory, suited to her, available from Ounass."
GIFT-05346,"خاتمٌ على شكل تاج ""ملكة الثلج"""" من Disney""",Pandora,490.0,SAR,Pandora,Rings,https://pandorashop-sa.com/sa/rings/164135c01-disney-frozen-yellow-toned-ring-with-violet-purple-crystal-and-clear-cubic-zirconia.html,https://www.pandorashop-sa.com/media/catalog/product/cache/a76a26ea0a7a55dcb689571b33e2045e/1/7/1761658442164135C01.jpg,Unisex,Teen–Adult,Jewellery,Birthday | Anniversary | Graduation | General / Any Occasion,Anyone,250–499 SAR,Premium,Jewellery | Unisex | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Anyone | 250–499 SAR,Complete,pandorashop-sa_rings.csv,Jewellery,Jewellery,Fashion Accessory,"خاتمٌ على شكل تاج ""ملكة الثلج"""" من Disney"" by Pandora is a fashion accessory in the jewellery subcategory, suited to anyone for general, available from Pandora."
GIFT-35388,Camille Mary-Jane Shoes in Leather,Senso,675.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-senso-camille-mary-jane-shoes-in-leather-for-women-218636829_2709.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218636829_blk_in.jpg?ts=1751647119.2477",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,SAR 300-699,Premium,Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 300-699,Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"Camille Mary-Jane Shoes in Leather by Senso is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-41736,JOSIE MARAN,,707.0,SAR,Sephora,Best Seller Gifts,https://www.sephora.com/product/vanilla-vibezzz-hair-body-fragrance-mist-with-100-natural-scents-P516881?skuId=2869683&icid2=products+grid%3Ap516881%3Aproduct,https://www.sephora.com/productimages/sku/s2869683-main-zoom.jpg?pb=clean-planet-aware&imwidth=175,Unisex,Teen–Adult,Beauty & Self-Care,General / Any Occasion,Anyone,"SAR 700-1,499",Premium,"Beauty & Self-Care | Unisex | Teen–Adult | General / Any Occasion | Anyone | SAR 700-1,499",Missing: Brand,sephora-best-seller-gifts.csv,Beauty & Self-Care,Best Seller Gifts,Beauty / Self-Care Gift,"JOSIE MARAN is a beauty / self-care gift in the best seller gifts subcategory, suited to anyone, available from Sephora."
GIFT-43891,هونجر - مشاية أطفال تعليمية مع موسيقى وأضواء ولوحة أنشطة تفاعلية - أخضر,,110.0,SAR,Baby Story,Baby Story - Boys,https://baby-story.com/ar/EXxVReB,https://cdn.salla.sa/qnAdW/a8405282-c2f5-41f7-b8f2-6f84ee5e953e-500x500-JXuSgmicrlofiP2ZtSPkUsm4ZoC0QwmFbjplfni6.jpg,Male,Child–Teen,Books & Learning,Birthday | General / Any Occasion,Child,SAR 100-299,Affordable,Books & Learning | Male | Child–Teen | Birthday | General / Any Occasion | Child | SAR 100-299,Complete,baby-story-boys.csv,Books & Learning,Books & Learning,Toy / Entertainment,تنمية المشي - ذكور وإناث
